Estado,Fecha,Positivos,Defunciones
Baja California,2020-07-16,122.0,24.0
Baja California,2020-07-17,128.0,25.0
Baja California,2020-07-18,123.0,19.0
Baja California,2020-07-19,125.0,24.0
Baja California,2020-07-20,158.0,25.0
Baja California,2020-07-21,116.0,18.0
Baja California,2020-07-22,107.0,21.0
Baja California,2020-07-23,89.0,22.0
Baja California,2020-07-24,122.0,16.0
Baja California,2020-07-25,110.0,27.0
Baja California,2020-07-26,95.0,16.0
Baja California,2020-07-27,130.0,24.0
Baja California,2020-07-28,98.0,20.0
Baja California,2020-07-29,97.0,17.0
Baja California,2020-07-30,106.0,23.0
Baja California,2020-07-31,141.0,16.0
Baja California,2020-08-01,126.0,16.0
Baja California,2020-08-02,98.0,17.0
Baja California,2020-08-03,134.0,23.0
Baja California,2020-08-04,115.0,31.0
Baja California,2020-08-05,105.0,14.0
Baja California,2020-08-06,85.0,11.0
Baja California,2020-08-07,97.0,13.0
Baja California,2020-08-08,110.0,19.0
Baja California,2020-08-09,109.0,7.0
Baja California,2020-08-10,129.0,17.0
Baja California,2020-08-11,106.0,21.0
Baja California,2020-08-12,95.0,6.0
Baja California,2020-08-13,84.0,12.0
Baja California,2020-08-14,109.0,20.0
Baja California,2020-08-15,87.0,13.0
Baja California,2020-08-16,99.0,17.0
Baja California,2020-08-17,113.0,29.0
Baja California,2020-08-18,111.0,20.0
Baja California,2020-08-19,93.0,12.0
Baja California,2020-08-20,90.0,11.0
Baja California,2020-08-21,101.0,13.0
Baja California,2020-08-22,100.0,14.0
Baja California,2020-08-23,97.0,13.0
Baja California,2020-08-24,127.0,16.0
Baja California,2020-08-25,95.0,11.0
Baja California,2020-08-26,97.0,10.0
Baja California,2020-08-27,112.0,9.0
Baja California,2020-08-28,115.0,15.0
Baja California,2020-08-29,111.0,9.0
Baja California,2020-08-30,115.0,22.0
Baja California,2020-08-31,152.0,14.0
Baja California,2020-09-01,137.0,17.0
Baja California,2020-09-02,101.0,17.0
Baja California,2020-09-03,100.0,9.0
Baja California,2020-09-04,116.0,13.0
Baja California,2020-09-05,79.0,13.0
Baja California,2020-09-06,105.0,8.0
